Column1;Column2;Column3;Column4
र;465;;remove
म;448;;remove
छ;346;;remove
पनि;286;;remove
मेरो;244;;remove
हो;215;;remove
त;198;;remove
अनि;167;;remove
मलाई;167;;remove
तर;147;;remove
यो;145;;remove
नै;134;;remove
त्यो;133;;remove
तिमी;120;;remove
छु;115;;remove
तिम्रो;112;;remove
छैन;101;;remove
एक;97;;remove
अब;92;;remove
थियो;87;;remove
एउटा;83;;remove
ती;81;;remove
भए;77;;remove
मैले;77;;remove
के;76;;remove
मेरा;76;;remove
किन;76;;remove
थिएँ;75;;remove
आज;72;;remove
जस्तो;70;;remove
न;68;;remove
मन;68;;remove
सबै;67;;remove
छन्;63;;remove
कि;62;;remove
होला;61;;remove
हुन्छ;59;;remove
कति;58;;remove
त्यसैले;58;;remove
झैँ;58;;remove
कुनै;57;;remove
गरी;56;;remove
कहिले;56;;remove
आफ्नै;52;;remove
यी;51;;remove
धेरै;50;;remove
दिन;49;;remove
आफ्नो;48;;remove
भएको;46;;remove
फेरि;46;;remove
त्यही;45;;remove
सधैँ;43;;remove
केही;43;;remove
लाग्छ;42;;remove
जस्तै;42;;remove
आमा;42;;remove
बोकेर;42;;remove
भएर;40;;remove
हाम्रो;40;;remove
जीवन;40;;remove
मान्छे;39;x;keep
भन्ने;39;;remove
बेला;39;x;keep
जब;39;;remove
ऊ;38;;remove
अझै;38;;remove
कुरा;37;;remove
तिमीलाई;37;;remove
मात्र;37;;remove
जहाँ;36;;remove
भने;36;;remove
सायद;36;;remove
गर्दै;35;;remove
होइन;35;;remove
आँखा;35;;remove
यहाँ;34;;remove
भयो;34;;remove
देश;34;;remove
थिएन;34;;remove
घर;34;;remove
कतै;33;;remove
जति;33;;remove
कहिल्यै;33;;remove
नेपाली;33;x;keep
हामी;32;;remove
माया;32;x;keep
भो;31;;remove
लागि;31;;remove
थाहा;31;x;keep
सपना;30;x;keep
हरेक;29;;remove
हुँदैन;29;;remove
हाम्रा;29;;remove
सब;29;;remove
ठुलो;29;;remove
थिए;28;;remove
लिएर;28;;remove
गर्ने;28;;remove
गर्न;28;;remove
रहेछ;28;;remove
यही;27;;remove
कहाँ;27;;remove
गाउँ;27;;remove
हुने;26;;remove
भनी;26;;remove
खुसी;26;x;keep
आयो;26;;remove
है;25;;remove
कसरी;25;;remove
पानी;25;x;keep
बाटो;24;x;keep
सम्झन्छु;24;x;keep
संसार;24;x;keep
भन्छ;24;;remove
