,index,0
0,रुने,2
1,जोर,2
2,सुनौलो,2
3,गीत,8
4,बखत,4
5,साना,3
6,गोधूलि,2
7,न्याउली,2
8,धान,7
9,वन,6
10,तिल्लु,1
11,पूजा,4
12,समग्रमा,2
13,छिमेकी,2
14,बिहानी,3
15,ठाउँमा,6
16,असारे,3
17,मादल,2
18,दसैँ,3
19,साँझ,8
20,साल,7
21,गाउँमा,8
22,छालाको,2
23,तिहार,4
24,बाँझो,3
25,बाली,6
26,फेस्बूकको,1
27,आँखै,2
28,खेत,3
29,लौरी,2
30,दाजु,4
31,कोठा,3
32,हात,17
33,पलङमा,1
34,फेस्बूक,1
35,दिनमा,6
36,मान्छे,11
37,सङ्कटमा,2
38,गहना,2
39,मार्ग,3
40,पाठ,2
41,फेस्बूकमा,1
42,सहरमा,3
43,चिन्ता,5
44,भोक,8
45,कष्ट,3
46,उन्नति,4
47,जन्म,7
48,हर्षित,2
49,बिहान,4
50,विश्व,5
51,घरमा,7
52,सरलता,2
53,गाडी,4
54,पैसा,6
55,चिया,3
56,दिदी,5
57,ध्यान,4
58,गतिलो,2
59,जनता,4
60,समयमा,3
61,राजा,5
62,भान्सा,1
63,फोटो,2
64,शासक,2
65,हँसिया,3
66,भिडियो,2
67,कोदालो,2
68,आँसु,11
69,बाटो,18
70,मनको,13
71,शब्द,9
72,कालो,14
73,रातमा,3
74,संसारमा,7
75,देह,4
76,शान्ति,7
77,अमिलो,2
78,हातबाट,1
79,आँखाबाट,2
80,पत्र,4
81,आमाको,11
82,कसम,2
83,दोष,4
84,गन्तव्य,5
85,सेतो,4
86,बन्द,6
87,एक्लै,11
88,वाचा,2
89,अनगिन्ती,3
90,गुँड,1
91,बाबु,1
92,जिन्दगीको,2
93,यात्रा,9
94,पक्षमा,2
95,बलियो,2
96,पाइलाहरू,6
97,इच्छा,7
98,टुहुरा,2
99,अवश्य,2
100,जोडी,3
101,कलिला,2
102,नाङ्गै,3
103,खुसी,16
104,प्रकृतिले,3
105,अलपत्र,3
106,आनन्द,5
107,रात,7
108,कागजमा,3
109,ठूलो,7
110,सन्तानहरू,2
111,बलात्कृत,4
112,सानु,3
113,सन्तानका,3
114,भाका,3
115,बारी,3
116,सन्देश,3
117,बास,4
118,पश्चिम,4
119,कवि,5
120,लहरा,4
121,आगो,6
122,झरना,3
123,मनले,5
124,रवि,4
125,वनले,2
126,बगैँचा,5
127,नदी,4
128,सेवा,6
129,न्यानो,5
130,सम्झन्छु,4
131,विशाल,9
132,परेवा,4
133,धुन,4
134,माया,23
135,कविता,10
136,सुन्दर,12
137,देशको,10
138,सुवास,3
139,निन्द्रा,3
140,डाँडा,6
141,बोट,5
142,प्यारो,10
143,विकास,5
144,नियम,2
145,विनाश,4
146,स्वतन्त्र,5
147,छोटो,1
148,केटी,2
149,तस्बिरहरू,3
150,नारीले,1
151,नारीको,2
152,इज्जत,5
153,इच्छाहरू,3
154,मनमा,13
155,छोरा,8
156,अधीनमा,3
157,सिमाना,6
158,ममाथि,1
159,बन,2
160,नारी,5
161,नग्न,3
162,सफलताको,4
163,अधिकार,3
164,पुरुष,1
165,चुपचाप,3
166,उत्तर,10
167,संसार,17
168,पुरुषले,1
169,दोषी,3
170,सुरक्षित,4
171,रूपमा,8
172,मित्रहरू,2
173,लात,2
174,संसारले,3
175,बेला,25
176,संसारको,7
177,वस्त्र,2
178,चेतनाको,3
179,केटा,2
180,लिप्त,3
181,नारीहरूको,4
182,जात,4
183,मुख,5
184,कठोर,3
185,खास,4
186,व्यवहार,3
187,बलात्कार,3
188,रेखा,2
189,ठिक,3
190,तयार,2
191,चाल,5
192,छोरी,5
193,शिर,8
194,गलत,2
195,सामाजिक,4
196,विभेद,3
197,विरोध,4
198,पुरुषलाई,2
199,प्रश्न,13
200,अति,6
201,खराब,1
202,काम,9
203,संस्कृति,3
204,छोरीलाई,3
205,समाज,10
206,सेता,3
207,जीवन्,2
208,शान,3
209,रहरको,3
210,पात,7
211,नयन,3
212,साथ,15
213,मैलो,3
214,प्यास,4
215,नामको,3
216,पानी,15
217,नाम,11
218,आस,4
219,पात्र,3
220,आशा,10
221,हुल,3
222,काका,2
223,वर्ष,7
224,बा,5
225,गाउँले,3
226,वर्षसम्म,2
227,अन्तिम,8
228,उकाली,3
229,विज्ञापन,3
230,नर,2
231,जातीय,3
232,बुहारी,3
233,रगत,9
234,आखिर,9
235,मरेको,4
236,बुढी,4
237,कान्छा,3
238,साथी,5
