weight;word
3;बिहानी
4;पूजा
4;बखत
3;असारे
7;धान
3;साना
6;वन
2;रुने
3;दसैँ
2;जोर
6;ठाउँमा
2;छालाको
2;गोधूलि
4;तिहार
1;तिल्लु
7;साल
2;समग्रमा
8;गाउँमा
2;न्याउली
2;छिमेकी
2;सुनौलो
8;गीत
8;साँझ
2;मादल
4;उन्नति
1;फेस्बूकको
3;खेत
1;पलङमा
7;घरमा
17;हात
5;राजा
3;कष्ट
3;चिया
2;भिडियो
2;सङ्कटमा
2;गहना
4;जनता
6;बाली
2;सरलता
4;गाडी
2;हर्षित
7;जन्म
1;फेस्बूकमा
3;हँसिया
5;दिदी
3;समयमा
4;ध्यान
6;दिनमा
2;कोदालो
8;भोक
3;बाँझो
4;बिहान
4;दाजु
2;पाठ
3;मार्ग
1;फेस्बूक
6;पैसा
5;विश्व
2;फोटो
2;आँखै
11;मान्छे
3;सहरमा
2;लौरी
2;शासक
5;चिन्ता
2;गतिलो
3;कोठा
1;भान्सा
7;संसारमा
2;अमिलो
11;आँसु
14;कालो
4;पत्र
4;देह
18;बाटो
13;मनको
7;शान्ति
11;आमाको
2;आँखाबाट
9;शब्द
3;रातमा
1;हातबाट
2;अवश्य
3;सानु
2;वाचा
3;अलपत्र
11;एक्लै
3;प्रकृतिले
2;कलिला
5;आनन्द
4;बलात्कृत
16;खुसी
5;गन्तव्य
4;सेतो
2;टुहुरा
7;इच्छा
6;पाइलाहरू
2;जिन्दगीको
2;सन्तानहरू
1;गुँड
6;बन्द
1;बाबु
2;पक्षमा
2;कसम
3;जोडी
3;अनगिन्ती
9;यात्रा
3;नाङ्गै
3;कागजमा
7;ठूलो
3;सन्तानका
2;बलियो
4;दोष
7;रात
10;देशको
3;भाका
4;पश्चिम
5;कवि
4;सम्झन्छु
6;डाँडा
5;न्यानो
4;परेवा
6;सेवा
3;सन्देश
4;नदी
4;धुन
9;विशाल
4;बास
12;सुन्दर
4;लहरा
10;कविता
3;सुवास
23;माया
3;निन्द्रा
5;मनले
5;बोट
5;बगैँचा
3;झरना
4;रवि
2;वनले
3;बारी
10;प्यारो
6;आगो
1;ममाथि
5;इज्जत
4;सामाजिक
3;नग्न
7;संसारको
3;ठिक
2;केटी
4;सुरक्षित
1;पुरुषले
3;विभेद
1;छोटो
25;बेला
1;पुरुष
2;नारीको
2;वस्त्र
8;छोरा
4;विरोध
3;तस्बिरहरू
13;प्रश्न
10;समाज
2;तयार
5;नारी
3;लिप्त
3;अधीनमा
5;मुख
4;खास
5;छोरी
10;उत्तर
5;चाल
3;अधिकार
3;बलात्कार
3;संसारले
2;मित्रहरू
2;रेखा
1;खराब
17;संसार
6;सिमाना
4;नारीहरूको
3;छोरीलाई
4;सफलताको
4;जात
3;चुपचाप
8;शिर
3;चेतनाको
9;काम
13;मनमा
3;संस्कृति
8;रूपमा
2;गलत
2;बन
4;विनाश
3;दोषी
5;स्वतन्त्र
3;इच्छाहरू
2;नियम
3;व्यवहार
6;अति
2;लात
1;नारीले
3;कठोर
2;पुरुषलाई
2;केटा
5;विकास
4;आस
3;सेता
3;रहरको
11;नाम
3;नयन
7;पात
4;प्यास
3;नामको
2;जीवन्
3;शान
15;साथ
3;मैलो
15;पानी
3;जातीय
3;गाउँले
3;उकाली
10;आशा
9;आखिर
5;बा
2;नर
2;काका
2;वर्षसम्म
7;वर्ष
9;रगत
3;बुहारी
3;कान्छा
3;विज्ञापन
4;मरेको
3;पात्र
5;साथी
8;अन्तिम
3;हुल
10;घरको
3;पोहोर
4;बुढी
9;तल
14;समय
2;ढुक्क
2;मनुज
4;गो
15;साँच्चै
6;खाली
3;पालो
1;कालको
3;चैन
3;गगन
2;युग
3;पशु
4;पाखा
3;मति
2;हतारमा
8;व्यस्त
3;बज्छ
3;घण्टी
10;आवाज
2;सवार
3;घडी
3;भोलि
2;सम्हाल्न
3;प्रतीक्षामा
4;सोच
11;सपनाहरू
3;वर्षौँ
4;साबित
4;आकाशमा
6;पुरा
16;सानो
4;खेती
7;दुःख
4;कठिन
10;हातमा
4;धर्तीमा
1;बुवालाई
2;पुलकित
6;दुवै
6;गाली
7;महसुस
3;वास्तविक
5;गाह्रो
4;चाहना
4;उपहार
20;सपना
4;समयको
9;जिन्दगी
3;जोस
7;ज्योति
4;सुस्त
1;रविको
2;जगमा
2;महिमा
3;पहरा
3;माफ
4;गति
4;समान
3;अग्ला
3;टुक्रा
9;एउटै
5;अन्धकार
7;विश्वास
4;खोजीमा
2;कात्रोमा
4;कुना
3;प्राकृतिक
4;आँसुका
2;झुट्टो
3;घायल
2;दिल
3;बाको
2;बिउ
3;मृत्युको
4;हाँसो
4;सम्झनाको
4;धर्तीको
3;भाग्य
5;रित्तो
3;आशिष्
4;बाध्य
3;इन्द्रेणी
4;बाबाको
2;आयु
3;रुखो
5;आफन्त
6;पेट
3;नुन
12;रङ्ग
3;दाइ
4;बाबा
4;जूनको
3;आमालाई
3;दिदीले
4;तस्बिर
3;अभाव
2;बिस्कुन
9;शान्त
3;तारा
1;दाइको
4;सजिएको
6;खुसीको
9;युद्ध
3;निक्कै
3;आँट
6;नानी
2;भेट
4;आधा
4;हिम्मत
1;नर्कको
5;स्वर्ग
4;जवाफ
5;पुरानो
2;विचार
3;प्रगतिको
4;आस्था
5;बाटोमा
6;धर्म
3;मानवताको
2;सत्यता
9;सत्य
2;असाधारण
9;डर
5;मानिसलाई
5;डरले
5;भर
4;रोग
3;कल्पनाको
4;व्याख्या
3;भेदभाव
3;परिवार
3;विज्ञान
3;प्रमाण
3;अछुत
3;शङ्का
3;बार
